Centre address	No_Street	StreetName	Suburb	ID
GEELHOUT WEG, NEW HORIZON, PLETTENBERG BAY		NEW HORIZON	NEW HORIZON	1090
49 St George’s Mall, Corner Castle Street & St George’s Mall, Cape Town, 8000	Cnr	Castle Street & St George’s Mall	Cape Town	86
1023 Bank Avenue, Centurion, 0157	1023	Bank Avenue	Centurion	121
DJ Wood Avenue, Bellville Business Park, Corner Voortrekker Street & Mike Pienaar, Bellville, 7530 	DJ Wood Avenue	Corner Voortrekker Street & Mike Pienaar	Bellville	122
First Floor, Bellville Mall, Cnr. Bill Bezuidenhout & Voortrekker Road, Bellville, 7530	Cnr	Bill Bezuidenhout & Voortrekker Road	Bellville	136
40 Sir Lowry Road, Cape Town, 8000	40	Sir Lowry Road	Cape Town	156
5 Elson Road, Top of Birkdale Avenue, Woodstock, Cape Town, 7295	5	Elson Road	Top of Birkdale Avenue	181
1St Floor, Sunclare Building, 21 Dreyer Street, Claremont, 7708	21	Dreyer Street	Claremont	250
18 Lower Scott Road, Observatory, Cape Town, 8000	18	Lower Scott Road	Observatory	253
41 Techno Road, Techno Park, Stellenbosch, 7600 	41	Techno Road	Techno Park	277
Mupine: 307 Forest Drive Extension, Pinelands, 7504	307	Forest Drive Extension	Pinelands	328
4th Floor Manhattan Place, 130 Bree Street, Cape Town, 8001	130	Bree Street	Cape Town	453
52-62 Tarentaal Road, Bridgetown, Athlone, Cape Town, 7764  	52	Tarentaal Road	Bridgetown	584
McGregor House, 4 Victoria Road, Plumstead, 7801.	4	Victoria Road	Plumstead	593
Cape Town: 32 Kloof Street Gardens, Cape Town, 8001.	32	Kloof Street	Gardens	603
127 Cecil Road, Salt River, 7925.	127	Cecil Road	Salt River	650
12 Liesbeeck  Parkway, Mowbray, Cape Town, 8000.	12	Liesbeeck  Parkway	Mowbray	671
2, The Crescent, Durbanville, 7550	2	The Crescent	Durbanville	722
WPCC Sports Centre, Avenue de Mist, Rondebosch,7700		Avenue de Mist	Rondebosch	768
36 Beach Road, Muizenberg, 7950, Cape Town	36	Beach Road	Muizenberg	815
Helderberg College Road, Somerset West, 7130		Helderberg College Road	Somerset West	847
11 Adderley  Street, Cape Town, 8000	11	Adderley  Street	Cape Town	876
Varsity Place, Belmont Office Park, Belmont Road, Rondebosch, 7700		Belmont Road	Rondebosch	877
302 The Armoury, Buchanan Square, 160 Sir Lowry Road, Woodstock, Cape Town, 7925	160	Sir Lowry Road	Woodstock	886
Sable Square Outlet Shopping Village (Block B), 142 Democracy Way, Marconi Beam, Milnerton, 7435	142	Democracy Way	Marconi Beam	896
101 Aan de Gragt Building, 5 Plein Street, Stellenbosch, 8000	5	Plein Street	Stellenbosch	898
				921
