ORIGINAL ID,NEW ID,primary_institution,website
270,270,Havosch Consolidated Investment TA Oschmann Accounting?ÿ,
478,478,HAWEQUA CORRECTIONAL YOUTH CENTRE,
129,129,Headstart Mercy Montessori Training,
292,292,Helderberg College NPC,
1,1,HELDERSTROOM ADULT LEARNING CENTRE,
153,153,HELPING HANDS SKILLS ACADEMY,
301,153,HELPING HANDS SKILLS ACADEMY (Saldanha)(TP),
662,662,HENTIQUE LTD (Diep River),
335,335,HERMANUSHEUWEL/ZOUTKLOOF,
636,636,HERMON VOLWASSE ONDERRIG,
234,234,HESSEQUA CLC,
580,580,HEUNIS ENGINEERING (Saldanha),
593,593,HIGHLANDS ADULT LEARNING CENTRE,
431,431,HOLVLEI PRIMARY,
430,430,HOOFWEG 189 MOTORS (EDMS) BPK T/A PEUGEOT HELDERBERG (Strand),
262,262,HOOFWEG E-LEARNING & RECOURCE CENTRE,
145,145,HOPEFIELD,
746,746,Hospice Palliative Care Association,
706,706,HOUDCONSTANT,
734,734,HOUSE OUTENIKWA,
356,356,Hugenote College,
346,346,HUIS JOHANNES,
113,113,HULETT - HYDRO EXTRUSIONS (Epping),
440,440,Hyundai automotive (PTY) LTD T/A HYUNDAI BELLVILLE (Bellville),
147,147,IA Professional Placements And Related Services?ÿ,
609,609,IKAMVA,
701,701,IKHWEZI ALC,
388,388,ILLINGELETHU,
133,133,Imperial Technical Training Academy (BELLVILLE SOUTH) (DTTC),
24,24,Impregnation Web Technology T/A Drycoat (Pty) Ltd,
482,482,IMPUMALANGA ALC,
758,758,"In Tuition, Site Name: Margaret Nicol & Associates (Pty) Ltd t/a In Tuition",
392,392,Ince (Pty) Ltd. C.T,
118,118,Independent Institute of Education (Pty) Ltd,
493,118,Independent Institute of Education?ÿT/A VARSITY COLLEGE,
685,685,Independent Newspapers. Cape,
375,375,Industries Education & Training Institute Cape Town,
687,687,Inscape Education Group (Pty) Ltd,
805,805,Insimbi Security Services Cc?ÿ,
275,275,INSTITUTE FOR THE BLIND,
207,207,INTANDO YETHU CLC,
459,604,Intec College,
604,604,"INTEC College (Pty) Ltd, CG,",
582,582,International Hotel School (Pty) Ltd (The),
620,620,International Trimmings Sa Pty Ltd,
248,248,Isa Carstens Academy (Pty) Ltd,
637,637,ISCOR LTD - SALDANHA STEEL (Saldanha),
364,364,ISIBANE,
87,87,IT SA Computer Services Solutions (Pty) Ltd,
183,183,iThemba Labantu Vocational Training Centre (CAPE TOWN) (TP),
