Old_ID,New_ID,_long_description,provider_id
675,674,"Damelin Correspondence College - 64 St George's Mall
Cape Town
8001",243
672,672,Damelin Correspondence College (Pty) Ltd - ICG House 130 Strand Street Cape Town Western Cape 8001,267
674,674,"Damelin Correspondence College (Pty) Ltd CG, - 64 St George's Mall
Cape Town
8001",365
309,309,DAMELIN EDUCATION GROUP (Vredenburg)(TP) - VREDENBERG,342
676,676,Damelin Namaqualand (Springbok) - Damelin Namaqualand (Springbok) 0000,44
677,670,Damelin PTY Ltd - 12 Liesbeek Parkway Mowbray,18
678,678,DAMELIN TECHNICAL DIVISION (Cape Town)(TP) - 8 Darling Street   Cape Town,677
679,679,"DANKBAAR - DISALAAN, RIVIERSONDEREND, RIVIERSONDEREND",565
680,680,Dantall - 49 Roodebloem Road Woodstock Cape Town Western Cape 7925,446
684,684,"DARLING CLC - VOORUITSIG PRIMARY, DURBAN STREET, DARLING",643
685,685,"DASBOSCH - LONG STREET, DASBOSCH, PORTERVILLE",366
317,317,"DATCENTRE MOTORS (PTY) LTD T/A CMH NISSAN (Cape Town) - 1 Bree Street, CAPE TOWN",673
687,687,"DAV PROFESSIONAL PLACEMENT GROUP - 45 Sir Lowry Road, Woodstock, 7925",484
688,688,"DCCT ALPF - GORDON RD, HEATHFIELD, HEATHFIELD",122
326,326,"DCD Marine (Pty) Ltd (CAPE TOWN) (TP) - Ocean Rd, Sturrock Dock, Table Bay, CAPE TOWN, 8000",452
334,334,"DCD-DORBYL (PTY) LTD (Cape Town) - Ocean Rd, Sturrock Dock, Table Bay, CAPE TOWN, 8000",548
689,689,De Compu School Malmesbury cc - No 8 Duthie Street Malmesbury Western Cape 7300,369
690,690,"DE DOORNS ALC - PEOPLE'S CENTRE, DE DOORNS - EAST, DE DOORNS",549
691,691,"DE LA ROCHE - DE LA ROCHE, HOOFSTRAAT, NOORDER PAARL",518
692,692,"DE RUST - DE RUST SECONDARY, DE RUST, 2ND AVENUE, OUDTSHOORN",272
694,694,"DE RUST FUTURA GEMEENSKAPS LEERSENTRUM - PATRYSLAAGTYE, DE RUST LANDGOED, GRABOUW",97
695,695,"DE TUINLANDGOED - DE TUINLANDGOED, HALFMANSHOF, PORTERVILLE",480
696,696,"De Villiers Broodryk Paarl Ingelyf - 10 VAN DER LINGEN STREET, PAARL, WESTERN CAPE, ZA",9
697,697,"De Vries Manangement and Training Services - 20 MARGARET STREET, GAYLEE, BLACKHEATH, 7580",764
698,698,"DELFT CLC - SUNRAY PRIMARY, MAIN ROAD, DELFT",481
699,698,"DELFT SOUTH - SUNRAY PRIMARY, DELFT MAIN ROAD, DELFT",759
